Date and time,Electrode,Amplitude(mA),Frequence(Hz),Durée dimpulsion(us),muscle
"04-14-2022,15:14:18",1,120,10,30,Biceps Brachii
"04-14-2022,15:14:18",2,0,0,0,Aucun
"04-14-2022,15:14:18",3,0,0,0,Aucun
"04-14-2022,15:14:18",4,0,0,0,Aucun
"04-14-2022,15:14:18",5,0,0,0,Aucun
"04-14-2022,15:14:18",6,0,0,0,Aucun
"04-14-2022,15:14:18",7,0,0,0,Aucun
"04-14-2022,15:14:18",8,0,0,0,Aucun
"04-14-2022,15:14:26",1,120,20,30,Biceps Brachii
"04-14-2022,15:14:26",2,0,0,0,Aucun
"04-14-2022,15:14:26",3,0,0,0,Aucun
"04-14-2022,15:14:26",4,0,0,0,Aucun
"04-14-2022,15:14:26",5,0,0,0,Aucun
"04-14-2022,15:14:26",6,0,0,0,Aucun
"04-14-2022,15:14:26",7,0,0,0,Aucun
"04-14-2022,15:14:26",8,0,0,0,Aucun
"04-14-2022,15:14:35",1,122,20,30,Biceps Brachii
"04-14-2022,15:14:35",2,0,0,0,Aucun
"04-14-2022,15:14:35",3,0,0,0,Aucun
"04-14-2022,15:14:35",4,0,0,0,Aucun
"04-14-2022,15:14:35",5,0,0,0,Aucun
"04-14-2022,15:14:35",6,0,0,0,Aucun
"04-14-2022,15:14:35",7,0,0,0,Aucun
"04-14-2022,15:14:35",8,0,0,0,Aucun
